E05000380,2016-02,124
E05000137,2016-02,79
E05000280,2016-02,288
E05000037,2016-02,65
E05000046,2016-02,132
E05000617,2016-02,103
E05000058,2016-02,75
E05000609,2016-02,115
E05000292,2016-02,37
E05000125,2016-02,91
E05000179,2016-02,68
E05000628,2016-02,82
E05000104,2016-02,195
E05000481,2016-02,70
E05000636,2016-02,274
E05000647,2016-02,197
E05000116,2016-02,73
E05000624,2016-02,99
E05000175,2016-02,206
E05000493,2016-02,53
E05000593,2016-02,78
E05000108,2016-02,108
E05000120,2016-02,102
E05000297,2016-02,50
E05000143,2016-02,169
E05000612,2016-02,76
E05000043,2016-02,70
E05000289,2016-02,63
E05000285,2016-02,55
E05000032,2016-02,100
E05000132,2016-02,90
E05000051,2016-02,96
E05000600,2016-02,117
E05000560,2016-02,46
E05000086,2016-02,117
E05000460,2016-02,102
E05000331,2016-02,365
E05000186,2016-02,143
E05000252,2016-02,83
E05000403,2016-02,56
E05000352,2016-02,139
E05000098,2016-02,114
E05000198,2016-02,110
E05000194,2016-02,70
E05000323,2016-02,54
E05000472,2016-02,39
E05000094,2016-02,179
E05000223,2016-02,138
E05000572,2016-02,63
E05000340,2016-02,159
E05000411,2016-02,28
E05000439,2016-02,142
E05000368,2016-02,187
E05000268,2016-02,132
E05000444,2016-02,89
E05000315,2016-02,90
E05000215,2016-02,79
E05000427,2016-02,143
E05000376,2016-02,179
E05000527,2016-02,50
E05000276,2016-02,209
E05000207,2016-02,126
E05000556,2016-02,62
E05000307,2016-02,46
E05000456,2016-02,26
E05000264,2016-02,102
E05000364,2016-02,136
E05000435,2016-02,107
E05000219,2016-02,135
E05000319,2016-02,367
E05000448,2016-02,277
E05000342,2016-02,118
E05000413,2016-02,41
E05000188,2016-02,159
E05000088,2016-02,85
E05000196,2016-02,65
E05000321,2016-02,120
E05000470,2016-02,59
E05000096,2016-02,73
E05000221,2016-02,112
E05000570,2016-02,50
E05000250,2016-02,135
E05000401,2016-02,41
E05000350,2016-02,112
E05000562,2016-02,74
E05000462,2016-02,51
E05000333,2016-02,39
E05000184,2016-02,105
E05000266,2016-02,70
E05000366,2016-02,170
E05000437,2016-02,118
E05000278,2016-02,134
E05000529,2016-02,53
E05000378,2016-02,105
E05000429,2016-02,152
E05000205,2016-02,97
E05000305,2016-02,46
E05000454,2016-02,106
E05000425,2016-02,188
E05000374,2016-02,92
E05000525,2016-02,61
E05000274,2016-02,94
E05000458,2016-02,99
E05000309,2016-02,38
E05000558,2016-02,36
E05000209,2016-02,77
E05000446,2016-02,86
E05000317,2016-02,50
E05000217,2016-02,89
E05000626,2016-02,106
E05000177,2016-02,146
E05000491,2016-02,107
E05000591,2016-02,91
E05000638,2016-02,163
E05000645,2016-02,84
E05000114,2016-02,147
E05000483,2016-02,106
E05000634,2016-02,131
E05000118,2016-02,64
E05000649,2016-02,1365
E05000106,2016-02,61
E05000053,2016-02,116
E05000602,2016-02,71
E05000299,2016-02,47
E05000287,2016-02,78
E05000030,2016-02,96
E05000130,2016-02,375
E05000141,2016-02,176
E05000610,2016-02,107
E05000041,2016-02,82
E05000122,2016-02,163
E05000295,2016-02,44
E05000370,2016-02,203
E05000421,2016-02,151
E05000270,2016-02,72
E05000521,2016-02,50
E05000313,2016-02,74
E05000442,2016-02,117
E05000213,2016-02,57
E05000348,2016-02,92
E05000533,2016-02,48
E05000262,2016-02,90
E05000433,2016-02,67
E05000362,2016-02,103
E05000201,2016-02,126
E05000450,2016-02,88
E05000301,2016-02,65
E05000229,2016-02,154
E05000329,2016-02,60
E05000478,2016-02,126
E05000254,2016-02,111
E05000354,2016-02,107
E05000405,2016-02,38
E05000566,2016-02,57
E05000337,2016-02,126
E05000466,2016-02,71
E05000180,2016-02,58
E05000531,2016-02,78
E05000417,2016-02,146
E05000346,2016-02,66
E05000517,2016-02,45
E05000192,2016-02,93
E05000474,2016-02,51
E05000325,2016-02,171
E05000092,2016-02,130
E05000225,2016-02,212
E05000409,2016-02,103
E05000358,2016-02,332
E05000258,2016-02,81
E05000138,2016-02,435
E05000038,2016-02,95
E05000614,2016-02,125
E05000145,2016-02,113
E05000045,2016-02,218
E05000126,2016-02,32
E05000026,2016-02,235
E05000291,2016-02,33
E05000057,2016-02,121
E05000606,2016-02,117
E05000283,2016-02,118
E05000034,2016-02,77
E05000134,2016-02,79
E05000049,2016-02,75
E05000618,2016-02,102
E05000061,2016-02,130
E05000487,2016-02,165
E05000630,2016-02,39
E05000102,2016-02,158
E05000599,2016-02,206
E05000173,2016-02,208
E05000622,2016-02,104
E05000595,2016-02,98
E05000110,2016-02,45
E05000641,2016-02,363
E05000281,2016-02,168
E05000036,2016-02,72
E05000381,2016-02,123
E05000136,2016-02,113
E05000028,2016-02,100
E05000128,2016-02,73
E05000055,2016-02,146
E05000604,2016-02,178
E05000124,2016-02,58
E05000293,2016-02,51
E05000608,2016-02,93
E05000059,2016-02,91
E05000616,2016-02,156
E05000047,2016-02,126
E05000112,2016-02,84
E05000643,2016-02,86
E05000489,2016-02,93
E05000171,2016-02,53
E05000620,2016-02,157
E05000597,2016-02,81
E05000100,2016-02,224
E05000063,2016-02,143
E05000485,2016-02,82
E05000632,2016-02,274
E05000203,2016-02,99
E05000452,2016-02,94
E05000303,2016-02,72
E05000260,2016-02,107
E05000431,2016-02,99
E05000360,2016-02,43
E05000311,2016-02,37
E05000440,2016-02,74
E05000211,2016-02,87
E05000372,2016-02,97
E05000423,2016-02,153
E05000272,2016-02,60
E05000523,2016-02,88
E05000190,2016-02,130
E05000476,2016-02,108
E05000327,2016-02,59
E05000090,2016-02,69
E05000227,2016-02,72
E05000468,2016-02,51
E05000339,2016-02,287
E05000568,2016-02,70
E05000415,2016-02,20
E05000344,2016-02,111
E05000564,2016-02,183
E05000335,2016-02,50
E05000464,2016-02,70
E05000182,2016-02,59
E05000519,2016-02,37
E05000419,2016-02,221
E05000256,2016-02,268
E05000356,2016-02,78
E05000407,2016-02,44
E05000063,2016-05,200
E05000632,2016-05,313
E05000485,2016-05,96
E05000100,2016-05,265
E05000026,2016-05,270
E05000171,2016-05,84
E05000620,2016-05,179
E05000597,2016-05,94
E05000112,2016-05,117
E05000643,2016-05,112
E05000489,2016-05,117
E05000616,2016-05,176
E05000047,2016-05,145
E05000124,2016-05,66
E05000293,2016-05,73
E05000608,2016-05,82
E05000059,2016-05,72
E05000028,2016-05,136
E05000128,2016-05,88
E05000055,2016-05,185
E05000604,2016-05,177
E05000036,2016-05,98
E05000281,2016-05,250
E05000136,2016-05,162
E05000381,2016-05,142
E05000256,2016-05,281
E05000356,2016-05,102
E05000407,2016-05,37
E05000564,2016-05,198
E05000182,2016-05,81
E05000335,2016-05,62
E05000464,2016-05,70
E05000519,2016-05,81
E05000348,2016-05,101
E05000419,2016-05,237
E05000468,2016-05,86
E05000339,2016-05,289
E05000568,2016-05,64
E05000362,2016-05,123
E05000415,2016-05,46
E05000344,2016-05,148
E05000476,2016-05,127
E05000327,2016-05,71
E05000190,2016-05,166
E05000227,2016-05,92
E05000524,2016-05,74
E05000090,2016-05,114
E05000372,2016-05,126
E05000423,2016-05,179
E05000272,2016-05,82
E05000523,2016-05,86
E05000311,2016-05,39
E05000440,2016-05,106
E05000211,2016-05,131
E05000531,2016-05,108
E05000260,2016-05,143
E05000431,2016-05,117
E05000360,2016-05,47
E05000203,2016-05,133
E05000452,2016-05,157
E05000303,2016-05,65
E05000474,2016-05,65
E05000325,2016-05,221
E05000192,2016-05,137
E05000225,2016-05,286
E05000092,2016-05,177
E05000409,2016-05,115
E05000358,2016-05,332
E05000258,2016-05,118
E05000417,2016-05,183
E05000346,2016-05,86
E05000517,2016-05,62
E05000566,2016-05,47
E05000180,2016-05,96
E05000337,2016-05,124
E05000466,2016-05,74
E05000229,2016-05,196
E05000329,2016-05,55
E05000478,2016-05,155
E05000254,2016-05,144
E05000354,2016-05,128
E05000405,2016-05,79
E05000201,2016-05,128
E05000450,2016-05,107
E05000301,2016-05,82
E05000533,2016-05,53
E05000262,2016-05,99
E05000433,2016-05,87
E05000313,2016-05,59
E05000442,2016-05,130
E05000213,2016-05,62
E05000370,2016-05,213
E05000421,2016-05,204
E05000270,2016-05,106
E05000521,2016-05,87
E05000110,2016-05,44
E05000641,2016-05,320
E05000173,2016-05,270
E05000622,2016-05,121
E05000595,2016-05,132
E05000102,2016-05,242
E05000599,2016-05,214
E05000061,2016-05,120
E05000630,2016-05,80
E05000487,2016-05,155
E05000034,2016-05,99
E05000283,2016-05,134
E05000134,2016-05,86
E05000049,2016-05,85
E05000618,2016-05,120
E05000057,2016-05,145
E05000606,2016-05,117
E05000126,2016-05,28
E05000291,2016-05,40
E05000138,2016-05,429
E05000038,2016-05,127
E05000614,2016-05,150
E05000145,2016-05,141
E05000045,2016-05,272
E05000446,2016-05,132
E05000317,2016-05,64
E05000217,2016-05,124
E05000425,2016-05,240
E05000374,2016-05,93
E05000525,2016-05,82
E05000274,2016-05,100
E05000458,2016-05,133
E05000309,2016-05,44
E05000558,2016-05,38
E05000209,2016-05,83
E05000278,2016-05,167
E05000529,2016-05,64
E05000378,2016-05,95
E05000429,2016-05,208
E05000205,2016-05,114
E05000305,2016-05,75
E05000454,2016-05,120
E05000266,2016-05,65
E05000366,2016-05,142
E05000437,2016-05,176
E05000562,2016-05,79
E05000184,2016-05,144
E05000462,2016-05,38
E05000333,2016-05,55
E05000250,2016-05,135
E05000401,2016-05,51
E05000350,2016-05,140
E05000321,2016-05,101
E05000470,2016-05,78
E05000196,2016-05,66
E05000221,2016-05,96
E05000570,2016-05,59
E05000096,2016-05,99
E05000342,2016-05,158
E05000413,2016-05,44
E05000188,2016-05,229
E05000088,2016-05,134
E05000364,2016-05,154
E05000122,2016-05,165
E05000295,2016-05,57
E05000141,2016-05,208
E05000610,2016-05,152
E05000041,2016-05,118
E05000030,2016-05,74
E05000287,2016-05,101
E05000130,2016-05,487
E05000053,2016-05,145
E05000602,2016-05,114
E05000299,2016-05,59
E05000106,2016-05,67
E05000634,2016-05,171
E05000483,2016-05,143
E05000118,2016-05,72
E05000649,2016-05,1268
E05000032,2016-05,127
E05000638,2016-05,216
E05000645,2016-05,147
E05000114,2016-05,163
E05000491,2016-05,136
E05000626,2016-05,164
E05000177,2016-05,190
E05000591,2016-05,109
E05000051,2016-05,104
E05000600,2016-05,130
E05000285,2016-05,53
E05000132,2016-05,96
E05000143,2016-05,301
E05000612,2016-05,106
E05000043,2016-05,106
E05000289,2016-05,112
E05000120,2016-05,93
E05000297,2016-05,70
E05000493,2016-05,101
E05000624,2016-05,111
E05000175,2016-05,226
E05000593,2016-05,94
E05000108,2016-05,104
E05000647,2016-05,308
E05000116,2016-05,155
E05000636,2016-05,354
E05000481,2016-05,108
E05000179,2016-05,103
E05000628,2016-05,92
E05000104,2016-05,215
E05000264,2016-05,142
E05000435,2016-05,134
E05000219,2016-05,117
E05000319,2016-05,355
E05000448,2016-05,347
E05000207,2016-05,177
E05000556,2016-05,82
E05000307,2016-05,61
E05000456,2016-05,45
E05000427,2016-05,193
E05000376,2016-05,183
E05000527,2016-05,95
E05000276,2016-05,265
E05000439,2016-05,202
E05000368,2016-05,241
E05000268,2016-05,120
E05000444,2016-05,140
E05000315,2016-05,79
E05000215,2016-05,102
E05000340,2016-05,207
E05000411,2016-05,29
E05000323,2016-05,132
E05000472,2016-05,45
E05000194,2016-05,65
E05000223,2016-05,122
E05000572,2016-05,69
E05000094,2016-05,225
E05000252,2016-05,118
E05000403,2016-05,52
E05000352,2016-05,155
E05000098,2016-05,155
E05000198,2016-05,145
E05000086,2016-05,144
E05000560,2016-05,39
E05000186,2016-05,160
E05000460,2016-05,130
E05000331,2016-05,500
E05000210,2016-05,142
E05000310,2016-05,147
E05000441,2016-05,110
E05000273,2016-05,103
E05000522,2016-05,85
E05000373,2016-05,212
E05000422,2016-05,153
E05000453,2016-05,124
E05000302,2016-05,105
E05000202,2016-05,70
E05000430,2016-05,166
E05000361,2016-05,138
E05000530,2016-05,80
E05000261,2016-05,135
E05000347,2016-05,137
E05000349,2016-05,81
E05000418,2016-05,164
E05000518,2016-05,55
E05000183,2016-05,99
E05000334,2016-05,65
E05000465,2016-05,29
E05000565,2016-05,50
E05000357,2016-05,118
E05000406,2016-05,60
E05000257,2016-05,80
E05000226,2016-05,162
E05000091,2016-05,229
E05000477,2016-05,183
E05000326,2016-05,179
E05000191,2016-05,97
E05000414,2016-05,94
E05000345,2016-05,218
E05000569,2016-05,48
E05000469,2016-05,42
E05000338,2016-05,126
E05000058,2016-05,109
E05000609,2016-05,159
E05000292,2016-05,53
E05000125,2016-05,105
E05000046,2016-05,217
E05000617,2016-05,161
E05000137,2016-05,110
E05000380,2016-05,140
E05000037,2016-05,80
E05000280,2016-05,326
E05000605,2016-05,160
E05000054,2016-05,108
E05000129,2016-05,404
E05000029,2016-05,111
E05000101,2016-05,117
E05000633,2016-05,110
E05000484,2016-05,249
E05000062,2016-05,229
E05000488,2016-05,130
E05000113,2016-05,114
E05000642,2016-05,86
E05000596,2016-05,94
E05000170,2016-05,173
E05000621,2016-05,128
E05000607,2016-05,131
E05000056,2016-05,109
E05000619,2016-05,197
E05000048,2016-05,90
E05000135,2016-05,137
E05000035,2016-05,93
E05000282,2016-05,167
E05000044,2016-05,202
E05000615,2016-05,97
E05000144,2016-05,122
E05000039,2016-05,227
E05000139,2016-05,140
E05000290,2016-05,49
E05000027,2016-05,114
E05000127,2016-05,68
E05000594,2016-05,46
E05000494,2016-05,150
E05000172,2016-05,128
E05000623,2016-05,122
E05000111,2016-05,88
E05000640,2016-05,79
E05000631,2016-05,114
E05000486,2016-05,138
E05000060,2016-05,173
E05000598,2016-05,71
E05000103,2016-05,139
E05000432,2016-05,138
E05000363,2016-05,144
E05000532,2016-05,75
E05000263,2016-05,383
E05000451,2016-05,275
E05000300,2016-05,56
E05000200,2016-05,99
E05000271,2016-05,174
E05000520,2016-05,52
E05000371,2016-05,294
E05000420,2016-05,322
E05000212,2016-05,241
E05000312,2016-05,101
E05000443,2016-05,177
E05000516,2016-05,71
E05000416,2016-05,413
E05000259,2016-05,77
E05000408,2016-05,375
E05000359,2016-05,116
E05000224,2016-05,125
E05000093,2016-05,67
E05000475,2016-05,220
E05000324,2016-05,136
E05000193,2016-05,105
E05000355,2016-05,127
E05000404,2016-05,61
E05000255,2016-05,164
E05000328,2016-05,110
E05000479,2016-05,133
E05000228,2016-05,177
E05000181,2016-05,80
E05000336,2016-05,76
E05000467,2016-05,84
E05000567,2016-05,50
E05000119,2016-05,71
E05000648,2016-05,165
E05000635,2016-05,113
E05000482,2016-05,124
E05000107,2016-05,50
E05000590,2016-05,105
E05000490,2016-05,160
E05000627,2016-05,92
E05000176,2016-05,190
E05000644,2016-05,1177
E05000115,2016-05,130
E05000639,2016-05,97
E05000040,2016-05,87
E05000140,2016-05,229
E05000611,2016-05,101
E05000294,2016-05,70
E05000123,2016-05,222
E05000298,2016-05,34
E05000603,2016-05,173
E05000052,2016-05,106
E05000131,2016-05,134
E05000031,2016-05,110
E05000286,2016-05,80
E05000400,2016-05,61
E05000351,2016-05,121
E05000251,2016-05,170
E05000185,2016-05,158
E05000463,2016-05,74
E05000332,2016-05,136
E05000085,2016-05,153
E05000563,2016-05,39
E05000089,2016-05,203
E05000189,2016-05,237
E05000343,2016-05,87
E05000412,2016-05,92
E05000220,2016-05,88
E05000571,2016-05,73
E05000097,2016-05,109
E05000320,2016-05,97
E05000471,2016-05,100
E05000197,2016-05,298
E05000559,2016-05,54
E05000208,2016-05,115
E05000459,2016-05,70
E05000308,2016-05,84
E05000275,2016-05,324
E05000424,2016-05,191
E05000375,2016-05,215
E05000216,2016-05,95
E05000447,2016-05,132
E05000316,2016-05,92
E05000367,2016-05,352
E05000436,2016-05,212
E05000267,2016-05,134
E05000304,2016-05,76
E05000455,2016-05,76
E05000204,2016-05,143
E05000555,2016-05,74
E05000379,2016-05,288
E05000222,2016-05,210
E05000428,2016-05,223
E05000279,2016-05,96
E05000528,2016-05,162
E05000095,2016-05,184
E05000322,2016-05,98
E05000473,2016-05,61
E05000195,2016-05,141
E05000341,2016-05,229
E05000410,2016-05,36
E05000187,2016-05,105
E05000461,2016-05,57
E05000330,2016-05,55
E05000087,2016-05,133
E05000561,2016-05,52
E05000230,2016-05,281
E05000199,2016-05,112
E05000099,2016-05,146
E05000402,2016-05,70
E05000353,2016-05,140
E05000253,2016-05,140
E05000306,2016-05,159
E05000457,2016-05,89
E05000206,2016-05,203
E05000557,2016-05,30
E05000318,2016-05,125
E05000449,2016-05,253
E05000218,2016-05,75
E05000365,2016-05,122
E05000434,2016-05,125
E05000265,2016-05,152
E05000214,2016-05,158
E05000445,2016-05,92
E05000314,2016-05,131
E05000269,2016-05,72
E05000438,2016-05,151
E05000369,2016-05,139
E05000526,2016-05,83
E05000277,2016-05,173
E05000426,2016-05,234
E05000377,2016-05,129
E05000646,2016-05,173
E05000117,2016-05,14
E05000109,2016-05,254
E05000592,2016-05,109
E05000492,2016-05,572
E05000625,2016-05,162
E05000174,2016-05,149
E05000105,2016-05,210
E05000178,2016-05,124
E05000629,2016-05,105
E05000637,2016-05,215
E05000480,2016-05,197
E05000133,2016-05,99
E05000033,2016-05,88
E05000284,2016-05,169
E05000601,2016-05,131
E05000050,2016-05,189
E05000296,2016-05,114
E05000121,2016-05,104
E05000288,2016-05,197
E05000042,2016-05,128
E05000142,2016-05,275
E05000613,2016-05,59
E05000280,2016-04,317
E05000137,2016-04,77
E05000380,2016-04,118
E05000054,2016-04,90
E05000605,2016-04,152
E05000129,2016-04,334
E05000609,2016-04,123
E05000058,2016-04,116
E05000125,2016-04,84
E05000292,2016-04,49
E05000617,2016-04,119
E05000046,2016-04,155
E05000488,2016-04,127
E05000113,2016-04,128
E05000642,2016-04,78
E05000170,2016-04,144
E05000621,2016-04,115
E05000596,2016-04,67
E05000101,2016-04,93
E05000062,2016-04,250
E05000633,2016-04,91
E05000484,2016-04,196
E05000202,2016-04,62
E05000453,2016-04,109
E05000302,2016-04,87
E05000530,2016-04,69
E05000261,2016-04,116
E05000430,2016-04,133
E05000361,2016-04,155
E05000347,2016-04,147
E05000310,2016-04,154
E05000441,2016-04,81
E05000210,2016-04,83
E05000373,2016-04,201
E05000422,2016-04,126
E05000273,2016-04,94
E05000522,2016-04,54
E05000477,2016-04,150
E05000326,2016-04,136
E05000191,2016-04,82
E05000226,2016-04,155
E05000091,2016-04,197
E05000414,2016-04,66
E05000345,2016-04,152
E05000469,2016-04,43
E05000338,2016-04,86
E05000569,2016-04,50
E05000518,2016-04,60
E05000349,2016-04,70
E05000418,2016-04,118
E05000565,2016-04,49
E05000183,2016-04,74
E05000334,2016-04,53
E05000465,2016-04,29
E05000257,2016-04,61
E05000357,2016-04,125
E05000406,2016-04,57
E05000371,2016-04,253
E05000420,2016-04,267
E05000271,2016-04,158
E05000520,2016-04,51
E05000312,2016-04,102
E05000443,2016-04,146
E05000212,2016-04,197
E05000532,2016-04,60
E05000263,2016-04,340
E05000432,2016-04,111
E05000363,2016-04,97
E05000200,2016-04,95
E05000451,2016-04,211
E05000300,2016-04,52
E05000255,2016-04,116
E05000355,2016-04,107
E05000404,2016-04,35
E05000228,2016-04,164
E05000328,2016-04,76
E05000479,2016-04,124
E05000567,2016-04,59
E05000181,2016-04,72
E05000336,2016-04,66
E05000467,2016-04,77
E05000416,2016-04,337
E05000516,2016-04,50
E05000408,2016-04,336
E05000359,2016-04,106
E05000259,2016-04,69
E05000475,2016-04,205
E05000324,2016-04,102
E05000193,2016-04,84
E05000224,2016-04,89
E05000093,2016-04,61
E05000615,2016-04,116
E05000144,2016-04,130
E05000044,2016-04,149
E05000139,2016-04,182
E05000127,2016-04,54
E05000290,2016-04,65
E05000056,2016-04,85
E05000607,2016-04,126
E05000048,2016-04,87
E05000619,2016-04,180
E05000282,2016-04,127
E05000135,2016-04,91
E05000060,2016-04,146
E05000631,2016-04,105
E05000486,2016-04,109
E05000598,2016-04,60
E05000103,2016-04,85
E05000494,2016-04,144
E05000172,2016-04,118
E05000623,2016-04,97
E05000594,2016-04,42
E05000111,2016-04,112
E05000640,2016-04,61
E05000189,2016-04,246
E05000089,2016-04,212
E05000343,2016-04,83
E05000412,2016-04,85
